participantTemp-mean,participantTemp-median,participantTemp-min,participantTemp-max,participantTemp-sd,participantTemp-range,participantTemp-skewness,participantTemp-kurtosis,class
35.3258282208589,35.51,33.11,35.73,0.482805980352052,2.6199999999999974,0.001250942396704055,0.0007362844308912848,distracted
35.37600000000003,35.55,33.05,35.69,0.49905811284859386,2.6400000000000006,0.0004927969115437694,0.00021131514818665292,distracted
35.38366459627329,35.57,33.05,35.75,0.5198013111105921,2.700000000000003,0.0008355043476211394,0.00042809508745496626,distracted
35.370266666666666,35.57,33.09,35.75,0.5667732605627129,2.6599999999999966,3.6324670716210897E-05,6.39193967825263E-06,distracted
35.14136986301366,35.39,33.01,35.61,0.5641184541606827,2.6000000000000014,-8.650146522242397E-05,2.0144148011711542E-05,distracted
35.15160714285715,35.41,33.25,35.61,0.5713088881360635,2.3599999999999994,0.0002718325248898036,8.488049422381252E-05,distracted
35.17568965517243,35.43,33.25,35.71,0.5703223893764113,2.460000000000001,1.906902890191299E-05,2.4846054435588374E-06,distracted
35.28843750000001,35.47,33.07,35.67,0.4854483068193256,2.6000000000000014,0.00028799354431063775,9.584739785693225E-05,distracted
35.137592592592576,35.41,33.05,35.65,0.614104090541013,2.6000000000000014,0.005378937174589961,0.004488176018842163,distracted
35.27151515151517,35.47,33.11,35.67,0.5022290990695876,2.5600000000000023,0.0008111530958849768,0.0003851782454033519,distracted
35.28409090909088,35.45,33.13,35.73,0.4799289002667946,2.5999999999999943,-0.6849950662947867,3.0745005025899492,distracted
35.13898550724639,35.44,33.09,35.79,0.6985080268386866,2.6999999999999957,0.0002621346244423996,8.669463337849895E-05,distracted
35.08488372093018,35.33,33.09,35.57,0.5665140464046334,2.479999999999997,0.0007944881604610331,0.0003718032168897238,distracted
35.35987012987012,35.53,33.45,35.71,0.44170417763062525,2.259999999999998,0.00016604115578038286,4.891716024471461E-05,distracted
35.24578125,35.480000000000004,33.11,35.65,0.5272668462443255,2.539999999999999,-0.016448149723415427,0.02108107357678656,distracted
35.02720588235293,35.19,33.05,35.57,0.45374372654303735,2.520000000000003,0.012587358123263403,0.015057715504032182,distracted
35.30006896551725,35.55,33.01,36.03,0.6251383257153897,3.020000000000003,-0.1092596512197542,0.27441156701928954,distracted
35.431777777777796,35.73,33.01,35.95,0.6445829736166971,2.940000000000005,-0.0007601363674791668,0.00035587701378279966,distracted
35.44328358208957,35.68,33.01,35.95,0.598191024398353,2.940000000000005,-0.0015372549151012984,0.0009078820992642015,distracted
35.5175912408759,35.79,33.03,36.09,0.6646534968479305,3.0600000000000023,0.0010880118705909395,0.0005768794041490838,distracted
35.572500000000005,35.760000000000005,33.39,36.09,0.49602797300152335,2.700000000000003,-0.019854451577779122,0.02651780723309821,distracted
35.37852941176473,35.63,33.01,35.77,0.5763405465569265,2.760000000000005,-0.008655024277599115,0.009138411072969012,distracted
35.41028368794329,35.63,33.01,35.89,0.5199562764793109,2.8800000000000026,-0.32480144007124645,1.1620646737381455,distracted
35.420935251798575,35.63,33.55,35.89,0.5172268223282008,2.3400000000000034,0.0018526192166427786,0.0011786544117985472,distracted
35.303893129771026,35.51,33.17,35.77,0.5277339899525834,2.6000000000000014,-0.0010671535660518616,0.0005538510607939365,distracted
35.323617021276625,35.55,33.09,35.71,0.5537970498984564,2.6199999999999974,0.0004844626313224473,0.00019804022715369827,distracted
35.03785185185185,35.15,33.25,35.71,0.45957207984237364,2.460000000000001,1.0822360449145523E-05,1.2280251145986763E-06,distracted
34.53545454545456,34.57,33.17,35.67,0.35815259071646355,2.5,0.04213179769823874,0.0746456717450081,distracted
34.5612605042017,34.69,33.01,35.87,0.4873777452770513,2.8599999999999994,0.004264144922273551,0.0034011432880531526,distracted
