angry-mean,angry-median,angry-min,angry-max,angry-sd,angry-range,angry-skewness,angry-kurtosis,disgust-mean,disgust-median,disgust-min,disgust-max,disgust-sd,disgust-range,disgust-skewness,disgust-kurtosis,fear-mean,fear-median,fear-min,fear-max,fear-sd,fear-range,fear-skewness,fear-kurtosis,happy-mean,happy-median,happy-min,happy-max,happy-sd,happy-range,happy-skewness,happy-kurtosis,neutral-mean,neutral-median,neutral-min,neutral-max,neutral-sd,neutral-range,neutral-skewness,neutral-kurtosis,sad-mean,sad-median,sad-min,sad-max,sad-sd,sad-range,sad-skewness,sad-kurtosis,surprise-mean,surprise-median,surprise-min,surprise-max,surprise-sd,surprise-range,surprise-skewness,surprise-kurtosis,participantTemp-mean,participantTemp-median,participantTemp-min,participantTemp-max,participantTemp-sd,participantTemp-range,participantTemp-skewness,participantTemp-kurtosis,class
0.05482598607888629,0.06,0.01,0.1,0.018924808412441065,0.09000000000000001,4.741448456904679E-05,1.2963048178675626E-05,0,0,0,0,0,0,0,0,0.14004640371229699,0.14,0.03,0.29,0.04929194886150837,0.26,-1.964385142349564E-05,4.0036976914687545E-06,0.03160092807424568,0.02,0,0.26,0.047440165259842106,0.26,-0.0006857781795052679,0.00045681179242808653,0.6489791183294656,0.65,0.47,0.83,0.06569194104667786,0.36,0.0005649388193572629,0.00035277216795099697,0.10993039443155456,0.11,0.02,0.24,0.03134635166894987,0.22,-7.37668471411441E-05,2.3369031771865323E-05,0.013828306264501074,0.01,0,0.05,0.008478619851075755,0.05,0.0008948708027943912,0.0006513876815678093,35.21055684454753,35.47,33.09,35.63,0.5480305730063528,2.539999999999999,0.0001489616543539422,5.964743042259043E-05,inattentive
0.03632653061224464,0.04,0,0.17,0.016512826018302906,0.17,0.0012874588684557034,0.0010660821719014552,0,0,0,0,0,0,0,0,0.14131519274376422,0.14,0,0.34,0.07446006993065807,0.34,-0.0003873650560820098,0.00021493482304181643,0.14126984126984113,0.02,0,0.97,0.25261035795336345,0.97,-0.0001460993674325495,5.857028139855611E-05,0.5836507936507936,0.63,0.01,0.86,0.18035881484198885,0.85,6.915326708646797E-05,2.1605440910615127E-05,0.08392290249433093,0.09,0,0.2,0.05356906616346235,0.2,0.00940766894985739,0.015116650251600925,0.012199546485260691,0.01,0,0.06,0.00885335811473269,0.06,-0.00593291838778895,0.008175306220206426,35.31380952380944,35.57,33.05,35.75,0.5795877806379749,2.700000000000003,0.00019583607267072893,8.656382758376613E-05,inattentive
0.06948314606741561,0.06,0.03,0.18,0.025632718014266212,0.15,0.00015520779737468208,6.368024386954247E-05,0,0,0,0,0,0,0,0,0.23287640449438202,0.23,0.09,0.49,0.073066357438424,0.4,-6.89685219469656E-05,2.1593409891386537E-05,0.007078651685393222,0.01,0,0.02,0.0056094317024761335,0.02,0.00031741936540758943,0.00016530953175661017,0.47557303370786574,0.48,0.21,0.7,0.09740427598768059,0.49,-0.00023015994250239928,0.00010768610219112882,0.183550561797753,0.18,0.13,0.32,0.028842466831788306,0.19,0.027479999724585976,0.06331048429894032,0.030921348314606575,0.03,0.01,0.14,0.017732230997806672,0.13,-0.0036907859473042314,0.0043545687154514295,35.25970786516851,35.51,33.11,35.67,0.562010160295362,2.5600000000000023,0.00037819848961748317,0.00020880764267994898,inattentive
0.07071925754060307,0.07,0.01,0.2,0.03034515408177886,0.19,-0.0024070595436968,0.002436734440006966,0,0,0,0,0,0,0,0,0.25368909512761023,0.26,0.07,0.47,0.08706924916539306,0.39999999999999997,-0.002890649697815068,0.003110424829835743,0.008723897911832864,0.01,0,0.17,0.013417976639689879,0.17,-0.0006376661446829737,0.0004145881676072795,0.4849419953596289,0.47,0.2,0.8,0.11713689563889101,0.6000000000000001,0.002823423885299868,0.0030143513316084006,0.1471693735498838,0.15,0.02,0.33,0.04343559746320686,0.31,5.9803818427795414E-05,1.7665705074912244E-05,0.03484918793503467,0.03,0,0.17,0.023733105956997593,0.17,-0.0005682861959153996,0.00035556191167408595,35.09450116009281,35.41,33.01,35.67,0.684271536293513,2.6600000000000037,0.00032535079210714514,0.00016902913978196477,inattentive
0.08399071925754044,0.08,0.02,0.2,0.03207936658875247,0.18000000000000002,1.5251510501680239E-05,2.856995573700041E-06,0,0,0,0,0,0,0,0,0.2674941995359628,0.26,0.07,0.46,0.0835201982531089,0.39,-0.000209913533401436,9.423516791472017E-05,0.0049651972157772626,0,0,0.03,0.005775072032422396,0.03,-0.0014745517631001778,0.0012677660585981338,0.4404872389791183,0.44,0.18,0.76,0.10646391587011995,0.5800000000000001,1.4284715615870836E-05,2.618109993284347E-06,0.17726218097447788,0.17,0.07,0.34,0.047522601132989374,0.27,0.0007585275338153671,0.0005225416230570083,0.02510440835266805,0.02,0,0.12,0.017418707549005926,0.12,-5.838633017630012E-05,1.7109631733299815E-05,35.0374245939674,35.31,33.05,35.65,0.6677569915518418,2.6000000000000014,4.0050146572368715E-05,1.0350577221706364E-05,inattentive
0.07289411764705864,0.07,0.04,0.11,0.01436828495182178,0.07,-0.0017004785506695703,0.001526011668209096,0,0,0,0,0,0,0,0,0.1899764705882352,0.19,0.07,0.36,0.04915521071549215,0.29,-0.0005336344729255897,0.0003254279220794948,0.008517647058823455,0.01,0,0.02,0.003990022157408299,0.02,0.00012065352254736275,4.482458917660893E-05,0.5386823529411768,0.54,0.31,0.75,0.06738933617240776,0.44,0.00023615922301122038,0.0001097495778416576,0.16327058823529403,0.16,0.08,0.24,0.0264687999395933,0.15999999999999998,0.0005940873811716778,0.0003754885920978228,0.02722352941176453,0.02,0,0.15,0.01956730554692652,0.15,-0.00011837672653817108,4.370033287241213E-05,35.16877647058817,35.45,33.05,35.69,0.6203121866110097,2.6400000000000006,-1.6518529314737586E-05,3.162943842891421E-06,inattentive
0.07004608294930852,0.07,0.04,0.16,0.012219109301506048,0.12,0.9192885692948636,6.767564285377719,0,0,0,0,0,0,0,0,0.21267281105990796,0.2,0.08,0.43,0.05985965804849887,0.35,0.00021922619913999463,0.00010008135628945697,0.003410138248847929,0,0,0.02,0.004931090912219507,0.02,0.005499334704963197,0.007349257207814975,0.4862442396313363,0.48,0.29,0.71,0.0743199291424569,0.42,-0.0016316941941953236,0.0014543924146933316,0.21548387096774188,0.22,0.09,0.34,0.04569858136674114,0.25,-0.004123845391452801,0.0050068710832412615,0.010437788018433078,0.01,0,0.05,0.007122499605973426,0.05,-5.350625847096203E-07,3.288789072045045E-08,35.14875576036868,35.51,33.19,35.69,0.6621382206883326,2.5,0.00043981918515594167,0.0002532379578477323,inattentive
0.04955882352941178,0.05,0,0.17,0.03099338118126656,0.17,-0.005096394824565874,0.006504852836871735,0,0,0,0,0,0,0,0,0.24186274509803937,0.2,0.02,0.68,0.13130551406485935,0.66,-0.0076465037470594965,0.011173020491649758,0.028406862745097988,0.01,0,0.49,0.05966130837995936,0.49,-0.0002645643579525583,0.0001259684644483557,0.4842647058823533,0.52,0.08,0.91,0.1668947905336366,0.8300000000000001,0.02796774619797443,0.06296463364676264,0.1504411764705881,0.15,0.02,0.34,0.06238952173358379,0.32,-0.003527643341121339,0.003982901939500882,0.044607843137254785,0.02,0,0.31,0.05128107032599173,0.31,-0.0016132522084881227,0.0014033190220016398,35.043137254902,35.43,33.09,35.73,0.7576407917980553,2.6399999999999935,0.00032630258666185315,0.00016661499192645047,inattentive
0.05309255079006778,0.05,0.01,0.17,0.01926781696753349,0.16,-9.333601618885745E-06,1.4980751119496435E-06,0,0,0,0,0,0,0,0,0.1610158013544018,0.14,0.05,0.57,0.07362345307623099,0.5199999999999999,-0.002025875263235446,0.0019541212650506937,0.016139954853273086,0.01,0,0.33,0.03430375937117835,0.33,-0.00023511377181589338,0.00011062127685280923,0.5724830699774264,0.59,0.05,0.82,0.09826794143476189,0.7699999999999999,0.002205975884941167,0.002189116744102212,0.1740180586907449,0.19,0.03,0.35,0.062155558429117026,0.31999999999999995,-6.098249432082198E-07,3.9422257233601516E-08,0.02277652370203143,0.02,0,0.17,0.023241050892894133,0.17,-0.00037503094443561234,0.00020616932395435894,35.28923250564336,35.49,33.45,35.71,0.5063447086716883,2.259999999999998,-0.054029497954999436,0.15570736363840898,inattentive
0.07745495495495493,0.08,0.04,0.13,0.017745961290251026,0.09,0.0007956739057257182,0.0005624809400423797,0,0,0,0,0,0,0,0,0.22500000000000003,0.22,0.07,0.43,0.06633419348439558,0.36,-2.6042246627004195E-05,5.8888738806624126E-06,0.010720720720720634,0.01,0,0.03,0.0047385160773914005,0.03,-7.924848691801724E-06,1.2053568179305623E-06,0.5009684684684685,0.5,0.22,0.74,0.09353280918025461,0.52,-3.632144086204614E-06,4.2593671922857324E-07,0.15346846846846837,0.15,0.09,0.25,0.02914156803853386,0.16,-3.797445352296692E-06,4.5197703321099425E-07,0.03292792792792782,0.03,0,0.15,0.018514280688166414,0.15,0.00012552682173878527,4.7948648141769336E-05,35.277972972973025,35.47,33.23,35.61,0.4705990424225259,2.3800000000000026,-0.0019427608875954687,0.0018493543168123531,inattentive
