angry-mean,angry-median,angry-min,angry-max,angry-sd,angry-range,angry-skewness,angry-kurtosis,disgust-mean,disgust-median,disgust-min,disgust-max,disgust-sd,disgust-range,disgust-skewness,disgust-kurtosis,fear-mean,fear-median,fear-min,fear-max,fear-sd,fear-range,fear-skewness,fear-kurtosis,happy-mean,happy-median,happy-min,happy-max,happy-sd,happy-range,happy-skewness,happy-kurtosis,neutral-mean,neutral-median,neutral-min,neutral-max,neutral-sd,neutral-range,neutral-skewness,neutral-kurtosis,sad-mean,sad-median,sad-min,sad-max,sad-sd,sad-range,sad-skewness,sad-kurtosis,surprise-mean,surprise-median,surprise-min,surprise-max,surprise-sd,surprise-range,surprise-skewness,surprise-kurtosis,class
0.034853932584269436,0.03,0.02,0.06,0.007572200134165726,0.039999999999999994,-0.0005919090195504658,0.00037942558648914086,0,0,0,0,0,0,0,0,0.12714606741573048,0.12,0.06,0.39,0.03789623637943207,0.33,-0.002116363558362078,0.0020744694177013455,0,0,0,0,0,0,0,0,0.6733258426966289,0.67,0.37,0.84,0.06718208952079227,0.47,0.0007535445337634027,0.0005235183417908333,0.15629213483146076,0.16,0.07,0.24,0.035461072896178815,0.16999999999999998,-1.2553893389004795E-05,2.227535249558508E-06,0.008539325842696547,0.01,0,0.04,0.004534651058203834,0.04,-0.015006490059199363,0.028259133222358252,attentive
0.03600436681222679,0.04,0.02,0.06,0.007115391900074776,0.039999999999999994,0.00038662940579369676,0.0002171109205020874,0,0,0,0,0,0,0,0,0.13609170305676854,0.13,0.05,0.25,0.043123265700754324,0.2,0.0023048325193735448,0.002346790509033726,0,0,0,0,0,0,0,0,0.6767467248908299,0.67,0.53,0.85,0.06943082102703117,0.31999999999999995,-0.0019398471073933882,0.001864855395517351,0.14508733624454148,0.15,0.06,0.24,0.03404487491167455,0.18,0.00018350376133701183,8.038008357441097E-05,0.004061135371179043,0,0,0.02,0.005128541636984732,0.02,0.00339049526964912,0.00392620238975821,attentive
0.041105990783409915,0.04,0.02,0.08,0.00848814902012998,0.06,-5.097131141075017E-06,6.641471598214592E-07,0,0,0,0,0,0,0,0,0.13405529953917047,0.13,0.07,0.32,0.035334565289146386,0.25,1.0972382575118662E-05,1.8459977423506512E-06,0,0,0,0,0,0,0,0,0.6678341013824883,0.67,0.43,0.8,0.052757248946077376,0.37000000000000005,0.0005222168898745007,0.00031839369701069985,0.15380184331797214,0.16,0.06,0.23,0.029754253017661884,0.17,-0.003378191526386296,0.0038377404603378565,0.001105990783410139,0,0,0.01,0.0031363501432578084,0.01,-0.0001010394956081862,3.563018980622706E-05,attentive
0.039271070615033855,0.04,0.02,0.05,0.0065033270960698055,0.030000000000000002,0.010228167839237742,0.016874022921449194,0,0,0,0,0,0,0,0,0.12132118451025047,0.12,0.05,0.22,0.031254474412578115,0.16999999999999998,0.00048623573805008926,0.00029059223699198436,0,0,0,0,0,0,0,0,0.6850797266514805,0.69,0.53,0.8,0.05088672062674068,0.27,-0.0007462609041844108,0.0005144491177079135,0.15045558086560346,0.15,0.1,0.23,0.023013756598433324,0.13,0.00016248805544161454,6.738813365104452E-05,0.0007289293849658317,0,0,0.01,0.002599606855159386,0.01,-5.021908937880691E-05,1.4081425374681689E-05,attentive
0.037046979865771504,0.04,0.02,0.06,0.006292997675023365,0.039999999999999994,0.00023116335404752933,0.00010847454171284279,0,0,0,0,0,0,0,0,0.13404921700223713,0.13,0.07,0.23,0.025319918025689395,0.16,0.0005593087467884502,0.00035234760395834116,0,0,0,0,0,0,0,0,0.6628859060402674,0.67,0.51,0.78,0.04184709519553737,0.27,-0.007592005140188008,0.011408919058114319,0.16400447427293036,0.16,0.11,0.25,0.019973807852162562,0.14,0.027318486538559703,0.06290879334121983,0,0,0,0,0,0,0,0,attentive
0.03791183294663558,0.04,0.02,0.09,0.008897541261034706,0.06999999999999999,2.999220636944165E-05,7.038881344967356E-06,0,0,0,0,0,0,0,0,0.10631090487238999,0.1,0.05,0.3,0.03109130102477583,0.25,3.875837902980295E-06,4.5988216163411233E-07,0,0,0,0,0,0,0,0,0.7439675174013924,0.75,0.56,0.83,0.03737052032589788,0.2699999999999999,-0.011636269829271453,0.019917926919400877,0.10452436194895594,0.1,0.06,0.2,0.026359881904379726,0.14,0.021627148735486337,0.04551537369090377,0.006102088167053336,0.01,0,0.05,0.0069555279590727435,0.05,-0.0015666351368539798,0.001374409791310951,attentive
0.0587389380530971,0.05,0.01,0.24,0.028314807201124843,0.22999999999999998,1.954474467464716E-07,8.704680062293144E-09,0,0,0,0,0,0,0,0,0.11008849557522131,0.1,0.05,0.33,0.04257207475639565,0.28,-0.001847338121890312,0.0017395676989929124,0.0007964601769911508,0,0,0.04,0.003492493320472788,0.04,-2.6238983746379125E-05,5.983778269869387E-06,0.6997345132743362,0.715,0.28,0.86,0.08099175285220613,0.58,0.00027185544131979765,0.00013515439879090862,0.12380530973451324,0.12,0.04,0.35,0.03678010678332181,0.31,-2.4501498370011104E-06,2.534951592360307E-07,0.004889380530973445,0,0,0.09,0.007240261849660975,0.09,-0.0006813343151651379,0.0004601080464801889,attentive
0.03386004514672666,0.03,0.02,0.06,0.006634495460887365,0.039999999999999994,-0.0004445797961746025,0.0002586629374718078,0,0,0,0,0,0,0,0,0.08760722347629797,0.08,0.04,0.19,0.022739254991601697,0.15,-0.004039575885220284,0.004904359190920234,0,0,0,0,0,0,0,0,0.7586907449209928,0.76,0.56,0.85,0.04417389789458591,0.2899999999999999,0.003537416793873781,0.004108811521019963,0.11494356659142249,0.11,0.06,0.21,0.024470629613687154,0.15,-0.0023907628478034033,0.0024369684491128874,0.002573363431151243,0,0,0.02,0.004422996973924921,0.02,-0.00044457979617467064,0.00025866293747186066,attentive
0.03890909090909078,0.04,0.01,0.09,0.012816569853510632,0.08,1.4015144491334617E-06,1.1929282725998063E-07,0,0,0,0,0,0,0,0,0.1014772727272729,0.09,0.05,0.28,0.03264616686142186,0.23000000000000004,-0.0020372392089104906,0.001964295975750466,0.00045454545454545465,0,0,0.01,0.0020829889522526687,0.01,-2.36166547874446E-05,5.153576582147876E-06,0.7455681818181812,0.75,0.4,0.85,0.05256290505292977,0.44999999999999996,4.704054994384459E-05,1.2915584922079817E-05,0.09963636363636368,0.1,0.03,0.17,0.02543002065302398,0.14,0.0011670062565120574,0.0009345053771662628,0.0112045454545454,0,0,0.27,0.028772682392611555,0.27,-0.00013421127327039358,5.226402917013705E-05,attentive
0.05078160919540228,0.05,0.03,0.11,0.01365706864035149,0.08,-0.008099827820109793,0.012325299135586438,0,0,0,0,0,0,0,0,0.09777011494252882,0.09,0.05,0.38,0.037951481775449804,0.33,-0.0009006531320780104,0.0006590320016788989,0,0,0,0,0,0,0,0,0.7387816091954017,0.74,0.44,0.85,0.05254563977609816,0.41,0.005723703915386569,0.007757693769316964,0.1062758620689656,0.11,0.06,0.18,0.020112722373371812,0.12,-0.0012182324643303585,0.0009858329066197381,0.003195402298850577,0,0,0.07,0.007559479214045194,0.07,-0.00017362479313401936,7.339143972869248E-05,attentive
