Tester:     weka.experiment.PairedCorrectedTTester -G 4,5,6 -D 1 -R 2 -S 0.05 -result-matrix "weka.experiment.ResultMatrixCSV -mean-prec 2 -stddev-prec 0 -col-name-width 0 -row-name-width 40 -mean-width 2 -stddev-width 2 -sig-width 1 -count-width 0 -show-avg -print-row-names -enum-col-names"
Analysing:  Matthews_correlation
Datasets:   27
Resultsets: 18
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       18/06/2021, 16:05


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],'',[9],'',[10],'',[11],'',[12],'',[13],'',[14],'',[15],'',[16],'',[17],'',[18],''
InattentiveFeatures-EmotionsAndTemp-30s,0.80,0.82,' ',0.79,' ',0.77,' ',0.79,' ',0.81,' ',0.80,' ',0.58,*,0.69,' ',0.68,' ',0.68,' ',0.68,' ',0.68,' ',0.63,' ',0.61,' ',0.60,' ',0.61,*,0.58,*
InattentiveFeatures-EmotionsOnly-10s,0.68,0.69,' ',0.68,' ',0.68,' ',0.68,' ',0.68,' ',0.69,' ',0.35,*,0.56,' ',0.56,' ',0.57,' ',0.57,' ',0.57,' ',0.51,*,0.47,*,0.52,*,0.55,*,0.53,*
InattentiveFeatures-EmotionsOnly-20s,0.73,0.73,' ',0.73,' ',0.71,' ',0.73,' ',0.73,' ',0.74,' ',0.55,*,0.58,' ',0.57,' ',0.58,' ',0.58,' ',0.58,' ',0.57,*,0.55,' ',0.59,' ',0.62,' ',0.60,' '
InattentiveFeatures-EmotionsOnly-30s,0.70,0.70,' ',0.70,' ',0.72,' ',0.69,' ',0.72,' ',0.70,' ',0.53,' ',0.62,' ',0.61,' ',0.59,' ',0.59,' ',0.59,' ',0.49,*,0.51,' ',0.53,' ',0.59,' ',0.56,' '
InattentiveFeatures-TempOnly-10s,0.29,0.29,' ',0.28,' ',0.28,' ',0.29,' ',0.29,' ',0.29,' ',0.26,' ',0.26,' ',0.25,' ',0.25,' ',0.24,' ',0.24,' ',0.27,' ',0.27,' ',0.25,' ',0.25,' ',0.25,' '
InattentiveFeatures-TempOnly-20s,0.36,0.36,' ',0.38,' ',0.38,' ',0.36,' ',0.35,' ',0.35,' ',0.41,' ',0.35,' ',0.34,' ',0.34,' ',0.34,' ',0.34,' ',0.31,' ',0.31,' ',0.33,' ',0.33,' ',0.33,' '
InattentiveFeatures-TempOnly-30s,0.33,0.33,' ',0.37,' ',0.37,' ',0.32,' ',0.33,' ',0.33,' ',0.48,' ',0.22,' ',0.21,' ',0.21,' ',0.20,' ',0.20,' ',0.28,' ',0.28,' ',0.31,' ',0.31,' ',0.31,' '
Average,0.69,0.69,'',0.69,'',0.68,'',0.68,'',0.69,'',0.69,'',0.54,'',0.59,'',0.59,'',0.59,'',0.59,'',0.59,'',0.55,'',0.54,'',0.56,'',0.58,'',0.58,''
'[v/ /*]','','',[0/27/0],'',[0/27/0],'',[0/27/0],'',[0/27/0],'',[0/27/0],'',[0/27/0],'',[0/10/17],'',[0/21/6],'',[0/21/6],'',[0/19/8],'',[0/19/8],'',[0/19/8],'',[0/11/16],'',[0/15/12],'',[0/16/11],'',[0/19/8],'',[0/21/6]


Key,
[1],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 4727\\\" -S 1 -W trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 6625\' -4523450618538717400'
[2],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 4727\\\" -S 1 -W trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 4 -M 1.0 -V 0.001 -S 6625\' -4523450618538717400'
[3],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 4727\\\" -S 1 -W trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 8 -M 1.0 -V 0.001 -S 6625\' -4523450618538717400'
[4],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 4727\\\" -S 1 -W trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 16 -M 1.0 -V 0.001 -S 6625\' -4523450618538717400'
[5],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 4727\\\" -S 1 -W trees.RandomForest -- -P 100 -I 50 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 6625\' -4523450618538717400'
[6],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 4727\\\" -S 1 -W trees.RandomForest -- -P 100 -I 150 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 6625\' -4523450618538717400'
[7],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 4727\\\" -S 1 -W trees.RandomForest -- -P 100 -I 200 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 6625\' -4523450618538717400'
[8],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 4596\\\" -S 1 -W trees.DecisionStump\' -4523450618538717400'
[9],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 6678\\\" -S 1 -W trees.J48 -- -C 0.1 -M 2\' -4523450618538717400'
