participantTemp-mean,participantTemp-median,participantTemp-min,participantTemp-max,participantTemp-sd,participantTemp-range,participantTemp-skewness,participantTemp-kurtosis,class
34.67131578947368,34.73,33.51,34.91,0.2186281516595264,1.3999999999999986,0.002515586811389216,0.0018258577596053142,attentive
34.65244604316547,34.73,33.35,34.87,0.25906817448522323,1.519999999999996,0.0010768674952145848,0.0005717699028357676,attentive
34.60224137931036,34.71,33.01,34.85,0.32171706944225315,1.8400000000000034,-0.023945868312622975,0.03366098209603587,attentive
34.58968750000001,34.67,33.13,34.79,0.29003215743043054,1.6599999999999966,2.683747827585152E-06,1.8795718457829623E-07,attentive
34.595454545454544,34.67,33.11,34.79,0.27860138689957903,1.6799999999999997,-0.0353271070302633,0.059020390127928625,attentive
34.537037037037074,34.61,33.39,34.73,0.22131450413239787,1.3399999999999963,3.059323066864526E-05,4.556608403955037E-06,attentive
34.47544000000003,34.57,33.19,34.69,0.2724511082744939,1.5,0.0021040615988037305,0.001348076706361127,attentive
34.45127272727276,34.55,33.21,34.67,0.2815318780300156,1.4600000000000009,8.251712365689193E-05,1.721299079725869E-05,attentive
34.45555555555559,34.53,33.11,34.69,0.26872584588556747,1.5799999999999983,1.9498692116693024E-05,2.4992818057333496E-06,attentive
34.41057692307694,34.51,33.09,34.65,0.28108931965000344,1.5599999999999952,0.002500739926224939,0.001596255783415469,attentive
34.359811320754716,34.47,33.33,34.67,0.29292597149706756,1.3400000000000034,0.0005021476452039151,0.00018889067954052112,attentive
34.34083333333334,34.47,33.03,34.61,0.3391154752522442,1.5799999999999983,0.0018080888736772046,0.0010085949189318967,attentive
34.34450980392155,34.43,33.21,34.57,0.2680379964686756,1.3599999999999994,0.0005976501569803722,0.00023521378713762893,attentive
34.34450980392154,34.41,33.61,34.57,0.20705510988945477,0.9600000000000009,0.0012965171572819172,0.000660548050293382,attentive
34.34651376146785,34.45,33.15,34.59,0.2871287028711287,1.4400000000000048,-0.0029411866141368353,0.0020129775913846184,attentive
34.28757009345793,34.39,33.03,34.55,0.2999527723620084,1.519999999999996,-0.12795302909631287,0.3060990779443638,attentive
34.35384615384611,34.45,33.51,34.59,0.23502989863938112,1.0800000000000054,-0.06475819025792523,0.12229369047261772,attentive
34.31478632478629,34.39,33.03,34.55,0.2650160398003296,1.519999999999996,0.00039636531717280433,0.00014240420543489766,attentive
34.30854545454541,34.39,33.11,34.53,0.2507691309248278,1.4200000000000017,-0.012458716907563231,0.013838700765406624,attentive
34.29316831683163,34.41,33.05,34.51,0.3059894863044324,1.4600000000000009,0.0013330932304637672,0.0006832628718033317,attentive
34.28864077669901,34.39,33.29,34.55,0.254119643649831,1.259999999999998,4.1856719288276084E-05,6.812387168604749E-06,attentive
34.22937499999996,34.33,33.01,34.53,0.27467333818252765,1.5200000000000031,-0.108236844766326,0.23618768119642347,attentive
34.31348623853206,34.39,33.29,34.53,0.21611828288218277,1.240000000000002,0.004998442338057189,0.004082458211330903,attentive
34.25469387755101,34.37,33.13,34.51,0.28774706892825375,1.3799999999999955,0.0003707691578171815,0.00012280427698828597,attentive
34.25068181818179,34.33,33.19,34.51,0.2602699448935201,1.3200000000000003,4.646693373609352E-06,3.448944805424995E-07,attentive
34.28599999999995,34.35,33.09,34.49,0.20757832715570726,1.3999999999999986,0.004696736783356893,0.0037107189513719573,attentive
34.29285714285711,34.37,33.45,34.49,0.20126132874692904,1.0399999999999991,-0.25596048647900643,0.7667027169291933,attentive
34.19799999999997,34.31,33.07,34.47,0.2778170545331471,1.3999999999999986,-1.0776401933399322E-05,1.0861077432482076E-06,attentive
34.225370370370335,34.33,33.21,34.45,0.2727854465744566,1.240000000000002,-0.024126405434162248,0.03319949013868815,attentive
