Tester:     weka.experiment.PairedCorrectedTTester -G 4,5,6 -D 1 -R 2 -S 0.05 -result-matrix "weka.experiment.ResultMatrixCSV -mean-prec 2 -stddev-prec 0 -col-name-width 0 -row-name-width 50 -mean-width 0 -stddev-width 0 -sig-width 0 -count-width 0 -print-row-names -enum-col-names"
Analysing:  Matthews_correlation
Datasets:   27
Resultsets: 18
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       24/06/2021, 14:23


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],'',[9],'',[10],'',[11],'',[12],'',[13],'',[14],'',[15],'',[16],'',[17],'',[18],''
AllEx3-Inattentive-EmotionsAndTemp-30s-Rel,0.35,0.35,' ',0.35,' ',0.34,' ',0.35,' ',0.35,' ',0.35,' ',0.27,' ',0.23,' ',0.23,' ',0.22,' ',0.23,' ',0.23,' ',0.16,*,0.17,*,0.18,*,0.14,*,0.15,*
AllEx3-Inattentive-EmotionsOnly-10s-Rel,0.14,0.14,' ',0.14,' ',0.14,' ',0.14,' ',0.13,' ',0.13,' ',0.11,' ',0.07,' ',0.08,' ',0.08,' ',0.08,' ',0.08,' ',0.05,' ',0.05,' ',0.07,' ',0.08,' ',0.08,' '
AllEx3-Inattentive-EmotionsOnly-20s-Rel,0.20,0.22,' ',0.20,' ',0.19,' ',0.19,' ',0.20,' ',0.20,' ',0.15,' ',0.13,' ',0.12,' ',0.12,' ',0.12,' ',0.12,' ',0.06,*,0.07,' ',0.07,' ',0.09,' ',0.08,' '
AllEx3-Inattentive-EmotionsOnly-30s-Rel,0.33,0.33,' ',0.32,' ',0.32,' ',0.32,' ',0.34,' ',0.33,' ',0.27,' ',0.21,' ',0.19,' ',0.19,' ',0.19,' ',0.19,' ',0.15,*,0.15,*,0.14,*,0.16,*,0.18,*
AllEx3-Inattentive-TempOnly-10s-Rel,0.04,0.03,' ',0.04,' ',0.04,' ',0.04,' ',0.04,' ',0.03,' ',0.01,' ',0.03,' ',0.03,' ',0.03,' ',0.03,' ',0.03,' ',0.02,' ',0.00,' ',0.02,' ',0.02,' ',0.02,' '
AllEx3-Inattentive-TempOnly-20s-Rel,0.17,0.17,' ',0.16,' ',0.16,' ',0.16,' ',0.17,' ',0.17,' ',0.23,' ',0.19,' ',0.19,' ',0.19,' ',0.19,' ',0.19,' ',0.13,' ',0.10,' ',0.12,' ',0.12,' ',0.12,' '
AllEx3-Inattentive-TempOnly-30s-Rel,0.23,0.21,' ',0.20,' ',0.20,' ',0.23,' ',0.24,' ',0.23,' ',0.31,' ',0.27,' ',0.27,' ',0.27,' ',0.27,' ',0.27,' ',0.13,' ',0.12,' ',0.11,' ',0.11,' ',0.11,' '
'[v/ /*]','','',[0/27/0],'',[0/27/0],'',[0/27/0],'',[0/27/0],'',[0/27/0],'',[0/27/0],'',[0/18/9],'',[0/16/11],'',[0/16/11],'',[0/16/11],'',[0/16/11],'',[0/16/11],'',[0/12/15],'',[0/13/14],'',[0/12/15],'',[0/13/14],'',[0/13/14]


Key,
[1],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 4727\\\" -S 1 -W trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 6625\' -4523450618538717400'
